Key	document	term	count
1	answer1	economy	13
2	answer2	economy	3
3	answer3	economy	3
4	answer4	economy	4
5	answer5	economy	3
6	answer6	economy	1
7	answer7	economy	6
8	answer1	job	6
9	answer1	people	6
10	answer5	people	7
11	answer7	people	1
12	answer1	market	5
13	answer2	market	1
14	answer3	market	1
15	answer6	market	1
16	answer1	trump	5
17	answer4	trump	7
18	answer6	trump	10
19	answer1	jobs	4
20	answer5	jobs	7
21	answer6	jobs	2
22	answer1	article	3
23	answer2	article	1
24	answer5	article	6
25	answer6	article	2
26	answer7	article	3
27	answer1	employment	3
28	answer5	employment	1
29	answer1	focus	3
30	answer1	gains	3
31	answer2	gains	1
32	answer3	gains	1
33	answer1	labor	3
34	answer2	labor	1
35	answer3	labor	1
36	answer5	labor	1
37	answer1	aren	2
38	answer5	aren	1
39	answer1	change	2
40	answer2	change	1
41	answer5	change	3
42	answer6	change	3
43	answer1	factors	2
44	answer2	factors	1
45	answer1	goal	2
46	answer2	goal	1
47	answer3	goal	1
48	answer1	growth	2
49	answer7	growth	1
50	answer1	increase	2
51	answer2	increase	3
52	answer3	increase	1
53	answer7	increase	3
54	answer1	march	2
55	answer2	march	2
56	answer6	march	1
57	answer1	months	2
58	answer4	months	1
59	answer1	multiple	2
60	answer1	population	2
61	answer1	ratio	2
62	answer1	recession	2
63	answer2	recession	1
64	answer3	recession	1
65	answer7	recession	2
66	answer1	significant	2
67	answer1	ultimately	2
68	answer1	workers	2
69	answer1	achieve	1
70	answer1	act	1
71	answer1	addressing	1
72	answer1	administration	1
73	answer6	administration	2
74	answer1	agree	1
75	answer1	american	1
76	answer6	american	1
77	answer1	analyzing	1
78	answer1	approaches	1
79	answer1	attempting	1
80	answer1	average	1
81	answer2	average	1
82	answer3	average	1
83	answer1	believes	1
84	answer1	birthrates	1
85	answer1	bit	1
86	answer3	bit	1
87	answer1	bring	1
88	answer6	bring	1
89	answer1	chance	1
90	answer1	changing	1
91	answer5	changing	1
92	answer6	changing	1
93	answer1	class	1
94	answer2	class	2
95	answer3	class	3
96	answer4	class	1
97	answer5	class	1
98	answer6	class	1
99	answer7	class	2
100	answer1	coming	1
101	answer7	coming	1
102	answer1	companies	1
103	answer1	constraint	1
104	answer1	continue	1
105	answer2	continue	1
106	answer3	continue	2
107	answer1	contracting	1
108	answer1	decision	1
109	answer1	department	1
110	answer1	determined	1
111	answer1	didn	1
112	answer1	discussed	1
113	answer2	discussed	1
114	answer4	discussed	1
115	answer6	discussed	2
116	answer1	discussion	1
117	answer2	discussion	1
118	answer5	discussion	1
119	answer1	earlier	1
120	answer1	effective	1
121	answer1	elected	1
122	answer1	emphasis	1
123	answer1	employee	1
124	answer1	employees	1
125	answer6	employees	1
126	answer1	employers	1
127	answer1	entering	1
128	answer1	fill	1
129	answer1	force	1
130	answer1	gain	1
131	answer1	growing	1
132	answer2	growing	1
133	answer6	growing	1
134	answer7	growing	1
135	answer1	hard	1
136	answer4	hard	1
137	answer1	head	1
138	answer1	home	1
139	answer1	huge	1
140	answer1	immigration	1
141	answer1	improve	1
142	answer1	incentive	1
143	answer1	levels	1
144	answer1	lot	1
145	answer1	main	1
146	answer1	meaning	1
147	answer1	metrics	1
148	answer1	millions	1
149	answer6	millions	1
150	answer1	mind	1
151	answer1	monthly	1
152	answer1	option	1
153	answer1	personal	1
154	answer1	persuading	1
155	answer1	plan	1
156	answer3	plan	1
157	answer1	progress	1
158	answer1	quickly	1
159	answer1	rate	1
160	answer2	rate	3
161	answer3	rate	1
162	answer6	rate	2
163	answer7	rate	2
164	answer1	ready	1
165	answer1	realized	1
166	answer1	reasoning	1
167	answer1	recovery	1
168	answer1	relates	1
169	answer3	relates	1
170	answer4	relates	1
171	answer6	relates	1
172	answer7	relates	2
173	answer1	reports	1
174	answer1	retire	1
175	answer1	revised	1
176	answer1	shown	1
177	answer1	status	1
178	answer1	stay	1
179	answer1	staying	1
180	answer1	sticks	1
181	answer1	strengthen	1
182	answer1	succeed	1
183	answer1	success	1
184	answer1	talk	1
