"","answer","word","n","total","rank","term frequency"
"1","answer1","economy",13,483,1,0.0269151138716356
"2","answer1","job",6,483,2,0.0124223602484472
"3","answer1","people",6,483,3,0.0124223602484472
"4","answer1","market",5,483,4,0.010351966873706
"5","answer1","trump",5,483,5,0.010351966873706
"6","answer1","jobs",4,483,6,0.0082815734989648
"7","answer1","article",3,483,7,0.0062111801242236
"8","answer1","employment",3,483,8,0.0062111801242236
"9","answer1","focus",3,483,9,0.0062111801242236
"10","answer1","gains",3,483,10,0.0062111801242236
"11","answer1","labor",3,483,11,0.0062111801242236
"12","answer1","aren",2,483,12,0.0041407867494824
"13","answer1","change",2,483,13,0.0041407867494824
"14","answer1","factors",2,483,14,0.0041407867494824
"15","answer1","goal",2,483,15,0.0041407867494824
"16","answer1","growth",2,483,16,0.0041407867494824
"17","answer1","increase",2,483,17,0.0041407867494824
"18","answer1","march",2,483,18,0.0041407867494824
"19","answer1","months",2,483,19,0.0041407867494824
"20","answer1","multiple",2,483,20,0.0041407867494824
"21","answer1","population",2,483,21,0.0041407867494824
"22","answer1","ratio",2,483,22,0.0041407867494824
"23","answer1","recession",2,483,23,0.0041407867494824
"24","answer1","significant",2,483,24,0.0041407867494824
"25","answer1","ultimately",2,483,25,0.0041407867494824
"26","answer1","workers",2,483,26,0.0041407867494824
"27","answer1","achieve",1,483,27,0.0020703933747412
"28","answer1","act",1,483,28,0.0020703933747412
"29","answer1","addressing",1,483,29,0.0020703933747412
"30","answer1","administration",1,483,30,0.0020703933747412
"31","answer1","agree",1,483,31,0.0020703933747412
"32","answer1","american",1,483,32,0.0020703933747412
"33","answer1","analyzing",1,483,33,0.0020703933747412
"34","answer1","approaches",1,483,34,0.0020703933747412
"35","answer1","attempting",1,483,35,0.0020703933747412
"36","answer1","average",1,483,36,0.0020703933747412
"37","answer1","believes",1,483,37,0.0020703933747412
"38","answer1","birthrates",1,483,38,0.0020703933747412
"39","answer1","bit",1,483,39,0.0020703933747412
"40","answer1","bring",1,483,40,0.0020703933747412
"41","answer1","chance",1,483,41,0.0020703933747412
"42","answer1","changing",1,483,42,0.0020703933747412
"43","answer1","class",1,483,43,0.0020703933747412
"44","answer1","coming",1,483,44,0.0020703933747412
"45","answer1","companies",1,483,45,0.0020703933747412
"46","answer1","constraint",1,483,46,0.0020703933747412
"47","answer1","continue",1,483,47,0.0020703933747412
"48","answer1","contracting",1,483,48,0.0020703933747412
"49","answer1","decision",1,483,49,0.0020703933747412
"50","answer1","department",1,483,50,0.0020703933747412
"51","answer1","determined",1,483,51,0.0020703933747412
"52","answer1","didn",1,483,52,0.0020703933747412
"53","answer1","discussed",1,483,53,0.0020703933747412
"54","answer1","discussion",1,483,54,0.0020703933747412
"55","answer1","earlier",1,483,55,0.0020703933747412
"56","answer1","effective",1,483,56,0.0020703933747412
"57","answer1","elected",1,483,57,0.0020703933747412
"58","answer1","emphasis",1,483,58,0.0020703933747412
"59","answer1","employee",1,483,59,0.0020703933747412
"60","answer1","employees",1,483,60,0.0020703933747412
"61","answer1","employers",1,483,61,0.0020703933747412
"62","answer1","entering",1,483,62,0.0020703933747412
"63","answer1","fill",1,483,63,0.0020703933747412
"64","answer1","force",1,483,64,0.0020703933747412
"65","answer1","gain",1,483,65,0.0020703933747412
"66","answer1","growing",1,483,66,0.0020703933747412
"67","answer1","hard",1,483,67,0.0020703933747412
"68","answer1","head",1,483,68,0.0020703933747412
"69","answer1","home",1,483,69,0.0020703933747412
"70","answer1","huge",1,483,70,0.0020703933747412
"71","answer1","immigration",1,483,71,0.0020703933747412
"72","answer1","improve",1,483,72,0.0020703933747412
"73","answer1","incentive",1,483,73,0.0020703933747412
"74","answer1","levels",1,483,74,0.0020703933747412
"75","answer1","lot",1,483,75,0.0020703933747412
"76","answer1","main",1,483,76,0.0020703933747412
"77","answer1","meaning",1,483,77,0.0020703933747412
"78","answer1","metrics",1,483,78,0.0020703933747412
"79","answer1","millions",1,483,79,0.0020703933747412
"80","answer1","mind",1,483,80,0.0020703933747412
"81","answer1","monthly",1,483,81,0.0020703933747412
"82","answer1","option",1,483,82,0.0020703933747412
"83","answer1","personal",1,483,83,0.0020703933747412
"84","answer1","persuading",1,483,84,0.0020703933747412
"85","answer1","plan",1,483,85,0.0020703933747412
"86","answer1","progress",1,483,86,0.0020703933747412
"87","answer1","quickly",1,483,87,0.0020703933747412
"88","answer1","rate",1,483,88,0.0020703933747412
"89","answer1","ready",1,483,89,0.0020703933747412
"90","answer1","realized",1,483,90,0.0020703933747412
"91","answer1","reasoning",1,483,91,0.0020703933747412
"92","answer1","recovery",1,483,92,0.0020703933747412
"93","answer1","relates",1,483,93,0.0020703933747412
"94","answer1","reports",1,483,94,0.0020703933747412
"95","answer1","retire",1,483,95,0.0020703933747412
"96","answer1","revised",1,483,96,0.0020703933747412
"97","answer1","shown",1,483,97,0.0020703933747412
"98","answer1","status",1,483,98,0.0020703933747412
"99","answer1","stay",1,483,99,0.0020703933747412
"100","answer1","staying",1,483,100,0.0020703933747412
"101","answer1","sticks",1,483,101,0.0020703933747412
"102","answer1","strengthen",1,483,102,0.0020703933747412
"103","answer1","succeed",1,483,103,0.0020703933747412
"104","answer1","success",1,483,104,0.0020703933747412
"105","answer1","talk",1,483,105,0.0020703933747412
"106","answer1","times",1,483,106,0.0020703933747412
"107","answer1","upcoming",1,483,107,0.0020703933747412
"108","answer1","vigorous",1,483,108,0.0020703933747412
"109","answer1","wage",1,483,109,0.0020703933747412
"110","answer1","wages",1,483,110,0.0020703933747412
"111","answer1","wrong",1,483,111,0.0020703933747412
"112","answer2","yellen",6,364,1,0.0164835164835165
"113","answer2","fed",4,364,2,0.010989010989011
"114","answer2","term",4,364,3,0.010989010989011
"115","answer2","economy",3,364,4,0.00824175824175824
"116","answer2","increase",3,364,5,0.00824175824175824
"117","answer2","inflation",3,364,6,0.00824175824175824
"118","answer2","rate",3,364,7,0.00824175824175824
"119","answer2","rates",3,364,8,0.00824175824175824
"120","answer2","bank",2,364,9,0.00549450549450549
"121","answer2","class",2,364,10,0.00549450549450549
"122","answer2","economists",2,364,11,0.00549450549450549
"123","answer2","janet",2,364,12,0.00549450549450549
"124","answer2","level",2,364,13,0.00549450549450549
"125","answer2","march",2,364,14,0.00549450549450549
"126","answer2","mentioned",2,364,15,0.00549450549450549
"127","answer2","monetary",2,364,16,0.00549450549450549
"128","answer2","ms",2,364,17,0.00549450549450549
"129","answer2","policy",2,364,18,0.00549450549450549
"130","answer2","rise",2,364,19,0.00549450549450549
"131","answer2","stance",2,364,20,0.00549450549450549
"132","answer2","time",2,364,21,0.00549450549450549
"133","answer2","amount",1,364,22,0.00274725274725275
"134","answer2","article",1,364,23,0.00274725274725275
"135","answer2","average",1,364,24,0.00274725274725275
"136","answer2","banking",1,364,25,0.00274725274725275
"137","answer2","care",1,364,26,0.00274725274725275
"138","answer2","central",1,364,27,0.00274725274725275
"139","answer2","change",1,364,28,0.00274725274725275
"140","answer2","chief",1,364,29,0.00274725274725275
"141","answer2","compare",1,364,30,0.00274725274725275
"142","answer2","complicated",1,364,31,0.00274725274725275
"143","answer2","connect",1,364,32,0.00274725274725275
"144","answer2","consumers",1,364,33,0.00274725274725275
"145","answer2","continue",1,364,34,0.00274725274725275
"146","answer2","crisis",1,364,35,0.00274725274725275
"147","answer2","discussed",1,364,36,0.00274725274725275
"148","answer2","discussing",1,364,37,0.00274725274725275
"149","answer2","discussion",1,364,38,0.00274725274725275
"150","answer2","econ",1,364,39,0.00274725274725275
"151","answer2","economic",1,364,40,0.00274725274725275
"152","answer2","effects",1,364,41,0.00274725274725275
"153","answer2","efforts",1,364,42,0.00274725274725275
"154","answer2","era",1,364,43,0.00274725274725275
"155","answer2","examples",1,364,44,0.00274725274725275
"156","answer2","expect",1,364,45,0.00274725274725275
"157","answer2","factors",1,364,46,0.00274725274725275
"158","answer2","falling",1,364,47,0.00274725274725275
"159","answer2","familiarized",1,364,48,0.00274725274725275
"160","answer2","fascinating",1,364,49,0.00274725274725275
"161","answer2","financial",1,364,50,0.00274725274725275
"162","answer2","focusing",1,364,51,0.00274725274725275
"163","answer2","forward",1,364,52,0.00274725274725275
"164","answer2","gains",1,364,53,0.00274725274725275
"165","answer2","goal",1,364,54,0.00274725274725275
"166","answer2","goals",1,364,55,0.00274725274725275
"167","answer2","gradually",1,364,56,0.00274725274725275
"168","answer2","growing",1,364,57,0.00274725274725275
"169","answer2","hold",1,364,58,0.00274725274725275
"170","answer2","hoping",1,364,59,0.00274725274725275
"171","answer2","intriguing",1,364,60,0.00274725274725275
"172","answer2","journal",1,364,61,0.00274725274725275
"173","answer2","labor",1,364,62,0.00274725274725275
"174","answer2","learn",1,364,63,0.00274725274725275
